series,horizon,error
United States,14,-0.04333355538416939
United States,14,-0.0993480302378753
United States,14,-0.22633365725878996
United States,14,-0.3710553212498908
United States,14,-0.9693354272646566
United States,14,-1.2787073262087922
United States,14,-0.7367759421377382
United States,14,0.06770252262462861
United States,14,0.3235418405185282
United States,14,-0.041953399805731095
United States,14,-0.09952786799463631
United States,14,-0.14696454202136167
United States,14,0.08594848072280037
United States,14,0.17421245722346512
United States,14,0.09160417776344865
United States,14,0.05726971545449011
United States,14,-0.3607450212219714
United States,14,-0.5011312931303884
United States,14,-0.23854154772651093
United States,14,-0.3363127685171712
United States,14,-0.1343653918723664
United States,14,0.06294798645329891
United States,14,0.09021735248086316
United States,14,0.30061795606540365
United States,14,0.4080297358382641
United States,14,0.33848532568777756
United States,14,0.18530037421109036
United States,14,-0.023692534954445676
United States,14,-0.15520095113270038
United States,14,0.051585416957060204
United States,14,0.2861261467513927
United States,14,0.14552806675710528
United States,14,-0.00670964221089676
United States,14,-0.08277529413472173
United States,14,0.053737575502809776
United States,14,1.6127676081946127
United States,14,1.8015892249754195
United States,14,1.9204314381338836
United States,14,2.1774241256858264
United States,14,2.3985922614895774
United States,14,3.0111076871670726
United States,14,4.001756618108706
United States,14,4.468106520710148
United States,14,4.80594596983002
United States,14,4.687885021541508
United States,14,5.068005758476637
United States,14,5.467758516001764
United States,14,6.758992409495541
United States,14,8.062224352477664
United States,14,-0.920873135595901
United States,14,-0.9861589905065458
United States,14,-1.167456146600868
United States,14,-1.0323468075455953
United States,14,-0.902241942644217
United States,14,-0.8032859120217974
United States,14,-0.8230950053952686
United States,14,-0.7449078330938494
United States,14,-0.5654893802289305
United States,14,-0.7972499525264745
United States,14,-0.8087772306257097
United States,14,-0.5422502913498874
United States,14,-1.2624578078203417
United States,14,-0.10477377880631877
United States,14,-0.8219143690785984
United States,14,-0.3983188279808978
United States,14,0.2977159608374933
United States,14,0.5473589605242104
United States,14,0.8716431027249136
United States,14,0.782519790181512
United States,14,0.7273262523405108
United States,14,0.6342254460513832
United States,14,1.3390215121390021
United States,14,1.651701317132014
United States,14,1.5304685067327917
United States,14,2.1753907908107877
United States,14,2.366050836133157
United States,14,2.1190680175579644
United States,14,-0.459911384775479
United States,14,-0.6521109510391447
United States,14,-0.7310523662785755
United States,14,-0.8427892173008278
United States,14,-0.7687059342724663
United States,14,-0.8213196399635194
United States,14,-1.0077504888753648
United States,14,-1.1846891100142223
United States,14,-0.8485724866763942
United States,14,-0.9942310873839482
United States,14,-1.035604478387036
United States,14,-1.1918046665331197
United States,14,-1.163025217106222
United States,14,-1.624120939884854
United States,14,0.024576671429448638
United States,14,0.14350945378407864
United States,14,0.24835881240202262
United States,14,0.32169507851480894
United States,14,-0.0006350464273552348
United States,14,-0.264192007475625
United States,14,-0.007393957491508729
United States,14,-0.32444942947401856
United States,14,-0.2930198441696472
United States,14,-0.4098464421182282
United States,14,-0.40037865550695706
United States,14,-0.756664719649299
United States,14,-1.0521289365427737
United States,14,-0.47311737843849677
United States,14,0.7276067541340812
United States,14,0.8326980766360332
United States,14,0.6856916559802109
United States,14,0.3631382073795457
United States,14,0.9858968918959512
