series,horizon,error
United States,14,-0.020051472307113016
United States,14,-0.10697017918389662
United States,14,-0.17474644626988045
United States,14,-0.24541828428255386
United States,14,-0.21566196285067285
United States,14,-0.30302907376723276
United States,14,-0.47603775123422665
United States,14,-0.46038334801199454
United States,14,-0.3030805605757543
United States,14,-0.5186285273455713
United States,14,-0.5994262827561112
United States,14,-0.7224984330317632
United States,14,-0.9558405447613634
United States,14,-0.9358755127179474
United States,14,-0.1509699789628236
United States,14,0.17065776751506334
United States,14,0.036744696190595505
United States,14,-0.04237307747257546
United States,14,-0.07023048290443157
United States,14,-0.27594755241285895
United States,14,-0.21912698170334188
United States,14,-0.3365594139998098
United States,14,-0.2735080426916774
United States,14,-0.49795247608273563
United States,14,-0.6634683369222554
United States,14,-0.7129761354497806
United States,14,-0.8839171774780805
United States,14,-0.7476894991958147
United States,14,-0.3648469450585914
United States,14,-0.38235019405552784
United States,14,-0.39504497814809447
United States,14,-0.39007974888084895
United States,14,-0.36144447641968114
United States,14,-0.5960888611440289
United States,14,-0.908334227269826
United States,14,-1.0623688931702908
United States,14,-0.890680159620775
United States,14,-0.8694624856781097
United States,14,-1.0192192537585125
United States,14,-1.2201686473133275
United States,14,-1.4182996819487599
United States,14,-1.440514115831384
United States,14,-0.10424754703982764
United States,14,0.19480000120599072
United States,14,0.25049163289548027
United States,14,0.3759009522558454
United States,14,0.6533887546377031
United States,14,1.3607409763062748
United States,14,2.321082682685283
United States,14,2.7018521160171964
United States,14,3.2924544448189597
United States,14,3.2516646028537846
United States,14,3.6278184364763177
United States,14,4.170426234584024
United States,14,5.611313392456488
United States,14,6.919479561302698
United States,14,-0.8731867483687807
United States,14,-1.2606842428104947
United States,14,-1.204857864762447
United States,14,-1.4578325649423487
United States,14,-1.86168880868561
United States,14,-1.6547392466850201
United States,14,-1.48382659118227
United States,14,-1.8565896635212127
United States,14,-1.7288854312304487
United States,14,-1.4616959758295174
United States,14,-1.5189928038161558
United States,14,-1.4358358609605766
United States,14,-0.6883837032466698
United States,14,-0.12309116000461273
United States,14,0.17698463980769752
United States,14,0.5548371376425347
United States,14,1.0145150546738577
United States,14,1.0774117247225306
United States,14,1.4691522459733015
United States,14,1.1612434214955947
United States,14,0.8497877618709282
United States,14,0.7666193890564656
United States,14,1.365656265197165
United States,14,1.4213403295329936
United States,14,1.4540310452898346
United States,14,1.809400219268543
United States,14,1.8147116625246333
United States,14,1.3553772666721091
United States,14,0.03494801932530933
United States,14,-0.19999987612725256
United States,14,-0.16375348603244255
United States,14,-0.3472341467564508
United States,14,-0.2974401104373978
United States,14,-0.22826739316383282
United States,14,-0.41340414437927464
United States,14,-0.6084888043161989
United States,14,-0.27202607974117576
United States,14,-0.25125341762167075
United States,14,-0.3039324244437811
United States,14,-0.4298438034301597
United States,14,-0.23054779689060645
United States,14,-0.6385142219602287
United States,14,0.09766139479876479
United States,14,0.24397577485174793
United States,14,0.2885400347720495
United States,14,0.3875518923457637
United States,14,0.12122101820787101
United States,14,-0.12252379899931576
United States,14,0.025968370461477264
United States,14,-0.15154503826460441
United States,14,-0.05495784325978903
United States,14,-0.1805195565198634
United States,14,-0.09232584663815402
United States,14,-0.34925451134696495
United States,14,-0.5793643399399819
United States,14,-0.06010984296351474
United States,14,0.04142227953134636
United States,14,0.01951898851528533
United States,14,-0.04147414867554744
United States,14,-0.3520743905232333
United States,14,-0.008919507935175375
United States,14,-0.14595042910204548
United States,14,0.13618978270767101
United States,14,-0.050125524176950265
United States,14,-0.06825163291409453
United States,14,-0.47393845744230845
United States,14,-0.6857428566783099
United States,14,-0.6994286378791248
United States,14,-0.694209119925544
United States,14,-0.7317967473829263
United States,30,0.009988317342191522
United States,30,-0.046959412742969775
United States,30,0.06188906531139082
United States,30,-0.22670527163433185
United States,30,-0.5076470487481419
United States,30,-0.42262738150886925
United States,30,-0.5501115048295873
United States,30,-0.29830500920303393
United States,30,-0.24342229938949522
United States,30,-0.20274233154110632
United States,30,-0.42644082486418355
United States,30,-0.33845044416212566
United States,30,-0.2952996919567603
United States,30,-0.2928084036570464
United States,30,-0.3565020322434229
United States,30,0.03707087045290258
United States,30,-0.22760910740436735
United States,30,-0.4892748750296718
United States,30,-0.29470838694761703
United States,30,-0.2271652321495381
United States,30,-0.17016786786079052
United States,30,-0.1524567673602757
United States,30,-0.21277105137476937
United States,30,-0.3177497893374941
United States,30,-0.4916589194550802
United States,30,-0.1026006939351003
United States,30,-0.034053201271571965
United States,30,0.00285626319344523
United States,30,0.17952596846969548
United States,30,0.34354390855095573
United States,30,-0.026372628113163543
United States,30,-0.16566405093617576
United States,30,0.017063799353788767
United States,30,0.28364164721778806
United States,30,0.3591624947671974
United States,30,0.28065456882187867
United States,30,0.6755313500351399
United States,30,0.4472695846033812
United States,30,0.27398920123077986
United States,30,0.67242395019864
United States,30,0.6093823165619199
United States,30,0.7368411121438214
United States,30,0.9638992622622702
United States,30,1.1905708636557275
United States,30,0.8415802076313934
United States,30,0.6517096155179214
United States,30,0.7337647506313445
United States,30,0.9399281032033819
United States,30,0.9480096528392217
United States,30,1.0291702722666045
United States,30,1.2470521605491172
United States,30,1.0572079401958376
United States,30,0.8402789033376656
United States,30,1.1458858352539636
United States,30,1.1920358314660575
United States,30,1.2514585971027596
United States,30,1.3373190199354958
United States,30,1.7377704915850973
United States,30,1.3088524299841993
United States,30,1.316336596170224
United States,30,0.3542483845504609
United States,30,0.4018657328979405
United States,30,0.4751575575853568
United States,30,0.4016644086164778
United States,30,0.42124460301231537
United States,30,0.2996897105302736
United States,30,0.022775571974801068
United States,30,0.3581411373860153
United States,30,0.5414044239707074
United States,30,0.8745669121109003
United States,30,0.8444635015934239
United States,30,0.9409931313874722
United States,30,0.7823621158605611
United States,30,0.4148572223742928
United States,30,1.9324630095805464
United States,30,1.0681038186245644
United States,30,1.2440847558014632
United States,30,1.305278296933702
United States,30,1.391029720121539
United States,30,1.239254490743777
United States,30,0.7488597223806792
United States,30,0.9959489817661709
United States,30,0.9658707205314698
United States,30,1.2136145380319636
United States,30,1.3503216048336952
United States,30,1.4727530782932954
United States,30,1.2069481661648602
United States,30,0.8174975798410902
United States,30,1.0569859552687326
United States,30,1.0280207497546012
United States,30,0.33103326957441936
United States,30,0.3519136534752949
United States,30,0.5196146929536702
United States,30,0.4317622981213045
United States,30,-0.05905893567444487
United States,30,0.07240393945695978
United States,30,0.21441867409970428
United States,30,0.5274074535214925
United States,30,0.7157081985738207
United States,30,0.7692663572481573
United States,30,0.4864508360100457
United States,30,0.09075259779769063
United States,30,0.22309698672503586
United States,30,0.25756351254691
United States,30,0.5611995663300888
United States,30,0.752000130929412
United States,30,1.0465846112900294
United States,30,0.6110007798242956
United States,30,0.13821698939375082
United States,30,0.4740154265598928
United States,30,0.7192345558815099
United States,30,0.9938485378323705
United States,30,0.9207335372786414
United States,30,1.5206324581388433
United States,30,1.022599598037945
United States,30,0.5198227310856902
United States,30,0.791968926047117
United States,30,0.9560445554871198
United States,30,1.201987445959861
United States,30,1.3299813905988387
United States,30,0.08084698533963497
United States,30,-0.2092543980415993
United States,30,-0.8828239522548511
United States,30,-0.594851095083726
United States,30,-0.5364517282228229
United States,30,-0.22118019098294717
United States,30,-0.12935663954177912
United States,30,-0.18486028200146443
United States,30,-0.6317783096966041
United States,30,-1.0772104324794283
United States,30,-0.8204314110188937
United States,30,-0.6659310375081153
United States,30,-0.46274211523248976
United States,30,-0.3383917373409453
United States,30,-0.3443960208329875
United States,30,-0.8733772888659024
United States,30,-1.3428759496289349
United States,30,-1.1851389407486588
United States,30,-1.0114940135430572
United States,30,-0.874664667655523
United States,30,-0.7517538048575991
United States,30,-0.7191240670001458
United States,30,-1.151590941842934
United States,30,-1.6819842433047008
United States,30,-1.3855243390370129
United States,30,-1.2164273401879058
United States,30,-0.9869907039938433
United States,30,-0.9248204721890811
United States,30,-0.8611806402185493
United States,30,-1.416969956313828
United States,30,-0.37285376354264876
United States,30,-0.32126828255576
United States,30,-0.06163346075044629
United States,30,0.2624544330555185
United States,30,0.4229409118358216
United States,30,0.3787829573277399
United States,30,0.058567342213770246
United States,30,-0.179529782653999
United States,30,0.315992823097897
United States,30,0.6009875535636162
United States,30,0.9323042977815224
United States,30,1.2076343918687886
United States,30,0.9787376112268937
United States,30,0.5709053601887852
United States,30,0.625448631523005
United States,30,1.268723812484108
United States,30,1.4097832727644075
United States,30,1.6190359604762161
United States,30,1.7222331654320957
United States,30,1.263666227244924
United States,30,0.6885418445486362
United States,30,0.380584723508262
United States,30,1.7923577665313708
United States,30,1.4157501900933855
United States,30,1.5193533334436573
United States,30,1.3099618803485775
United States,30,0.842441543623675
United States,30,0.46523133109233683
United States,30,0.25536037485981744
United States,30,0.5522177305327904
United States,30,-0.020051472307113016
United States,30,-0.10697017918389662
United States,30,-0.17474644626988045
United States,30,-0.24541828428255386
United States,30,-0.21566196285067285
United States,30,-0.30302907376723276
United States,30,-0.47603775123422665
United States,30,-0.46038334801199454
United States,30,-0.3030805605757543
United States,30,-0.5186285273455713
United States,30,-0.5994262827561112
United States,30,-0.7224984330317632
United States,30,-0.9558405447613634
United States,30,-0.9358755127179474
United States,30,-1.0259262359987744
United States,30,-0.7600470144986975
United States,30,-0.8552194547269636
United States,30,-0.8772931819652232
United States,30,-0.9857439367355401
United States,30,-1.2279510989806788
United States,30,-1.2569541856630266
United States,30,-1.1253635918298297
United States,30,-0.8278048601446937
United States,30,-0.8947314318220574
United States,30,-1.010972657318355
United States,30,-1.0913795236976114
United States,30,-1.240318441079097
United States,30,-1.3338033954018442
United States,30,-1.2738740780829403
United States,30,-1.0096856226801112
United States,30,-0.1509699789628236
United States,30,0.17065776751506334
United States,30,0.036744696190595505
United States,30,-0.04237307747257546
United States,30,-0.07023048290443157
United States,30,-0.27594755241285895
United States,30,-0.21912698170334188
United States,30,-0.3365594139998098
United States,30,-0.2735080426916774
United States,30,-0.49795247608273563
United States,30,-0.6634683369222554
United States,30,-0.7129761354497806
United States,30,-0.8839171774780805
United States,30,-0.7476894991958147
United States,30,-0.9694636333946143
United States,30,-0.9818525501587594
United States,30,-1.2487800160535247
United States,30,-1.422703496794126
United States,30,-1.4223816314538045
United States,30,-1.4247993842297966
United States,30,-1.594696470604072
United States,30,-1.7463811542944896
United States,30,-2.031872931631664
United States,30,-2.246779753623237
United States,30,-2.2317446325641193
United States,30,-1.9703027570997005
United States,30,-1.9141244041662624
United States,30,-1.9887739010558132
